n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
7,1,24,0,0,-51.660000000000004
7,2,24,1,1,-49.16000000000001
7,3,24,0,0,-59.18000000000001
7,4,24,0,0,-65.98000000000002
7,5,24,1,1,-50.76000000000001
7,6,24,1,1,-48.38000000000001
7,0,25,0,0,-56.96000000000001
7,1,25,0,0,-51.78
7,2,25,0,0,-63.46000000000001
7,3,25,1,1,-61.220000000000006
7,4,25,0,0,-64.00000000000001
7,5,25,0,0,-58.720000000000006
7,6,25,0,0,-59.52000000000001
7,0,26,1,1,-51.019999999999996
7,1,26,1,1,-53.26
7,2,26,1,1,-49.82000000000001
7,3,26,0,0,-53.000000000000014
7,4,26,0,0,-64.14
7,5,26,1,1,-48.36
7,6,26,0,0,-48.46000000000001
7,0,27,0,0,-48.76
7,1,27,0,0,-64.76000000000002
7,2,27,1,1,-49.339999999999996
7,3,27,0,0,-64.76000000000002
7,4,27,0,0,-63.34
7,5,27,1,1,-47.800000000000004
7,6,27,1,1,-47.64000000000001
7,0,28,0,0,-48.36
7,1,28,0,0,-63.80000000000001
7,2,28,1,1,-49.339999999999996
7,3,28,1,1,-61.10000000000001
7,4,28,0,0,-67.1
7,5,28,1,1,-50.839999999999996
7,6,28,0,0,-44.68
7,0,29,1,1,-51.00000000000001
7,1,29,0,0,-64.52
7,2,29,1,1,-51.8
7,3,29,0,0,-64.84000000000002
7,4,29,0,0,-64.76
7,5,29,1,1,-52.86000000000001
7,6,29,0,0,-43.18
7,0,30,1,1,-49.480000000000004
7,1,30,0,0,-54.38000000000001
7,2,30,1,1,-49.16000000000001
7,3,30,0,0,-54.04000000000001
7,4,30,0,0,-61.24
7,5,30,1,1,-48.76
7,6,30,0,0,-45.88000000000001
7,0,31,1,1,-50.12
7,1,31,0,0,-48.68000000000001
7,2,31,0,0,-47.5
7,3,31,0,0,-63.980000000000004
7,4,31,0,0,-64.94000000000001
7,5,31,1,1,-50.84
7,6,31,0,0,-41.72
7,0,32,0,0,-45.16000000000001
7,1,32,1,1,-53.099999999999994
7,2,32,1,1,-51.099999999999994
